USER,12/02/2018,10.50,Super Market,super-market
USER,22/02/2018,17.50,Super Market,super-market
USER,13/02/2018,17.50,Dinner,dinner
USER,05/05/2018,17.50,Lanch,lanch
USER,06/01/2018,17.50,Lanch,lanch
USER,12/07/2018,17.50,Super Market,super-market
USER,12/12/2018,17.50,Super Market,super-market
USER,12/12/2018,17.50,Lanch,lanch
USER,12/12/2018,17.50,Super Market,super-market
USER,12/02/2019,10.50,Super Market,super-market
USER,12/02/2019,10.50,Super Market,super-market
USER,12/02/2019,10.50,Super Market,super-market
ANOTHER_USER,12/02/2019,10.50,Super Market,super-market
ANOTHER_USER,12/02/2019,10.50,Super Market,super-market
ANOTHER_USER,12/02/2019,10.50,Super Market,super-market
